timestamp,open,high,low,close,volume
2026-01-01T00:00:00+08:00,91997.27,92713.76,87510.36,90383.62,8526.8342
2026-01-02T00:00:00+08:00,91997.27,92713.76,87510.36,90383.62,8526.8342
2026-01-03T00:00:00+08:00,90323.63,93530.98,89840.16,92425.66,19078.8078
2026-01-04T00:00:00+08:00,92459.6,92507.25,88151.33,90457.85,10587.3589
2026-01-05T00:00:00+08:00,90443.47,90555.19,89182.02,89727.82,12548.7599
2026-01-06T00:00:00+08:00,89713.19,91009.52,89219.45,89698.77,13165.155
2026-01-07T00:00:00+08:00,89700.69,90975.6,86719.03,87949.51,10011.6783
2026-01-08T00:00:00+08:00,87984.21,93850.41,87003.73,93223.12,20909.9826
2026-01-09T00:00:00+08:00,93170.52,98334.06,92194.93,96537.33,11876.6597
2026-01-10T00:00:00+08:00,96567.71,98487.54,95925.3,98272.37,13175.4531
2026-01-11T00:00:00+08:00,98309.01,98481.13,96733.81,96916.93,18750.1888
2026-01-12T00:00:00+08:00,96880.84,98610.86,94267.43,95528.41,12773.5266
2026-01-13T00:00:00+08:00,95567.98,98037.74,93926.83,95226.03,18473.0211
2026-01-14T00:00:00+08:00,95173.02,96280.52,93764.19,95300.28,20744.0178
2026-01-15T00:00:00+08:00,95345.79,97390.24,94985.26,95992.45,20966.2833
2026-01-16T00:00:00+08:00,95982.48,98369.05,95418.73,96453.48,13915.9895
2026-01-17T00:00:00+08:00,96440.99,98102.0,93992.42,95286.11,13749.9629
2026-01-18T00:00:00+08:00,95268.73,98464.28,95075.98,98420.39,21132.8843
2026-01-19T00:00:00+08:00,98428.08,98609.21,97417.59,97794.54,8288.6042
2026-01-19T00:00:00+08:00,98428.08,98609.21,97417.59,97794.54,8288.6042
2026-01-20T00:00:00+08:00,97765.26,98186.73,94408.21,94728.98,18062.1575
2026-01-21T00:00:00+08:00,94753.5,99984.59,93177.7,99163.18,12918.1697
2026-01-22T00:00:00+08:00,99153.21,100348.67,97910.12,98350.79,20205.9436
2026-01-23T00:00:00+08:00,98403.72,98900.5,94948.76,95349.98,9595.328
2026-01-24T00:00:00+08:00,95315.11,97321.93,94228.6,94612.75,18219.0674
2026-01-25T00:00:00+08:00,94619.43,95953.01,92717.21,94679.86,20011.6488
