date,open,high,low,close,volume
2026-01-01,91996.2,92712.67,87509.33,90382.57,9603.6961
2026-01-02,90359.22,93567.83,89875.56,92462.07,20646.6373
2026-01-03,92496.31,92543.98,88186.34,90493.77,10946.3238
2026-01-04,90503.42,90615.21,89241.13,89787.29,12072.8562
2026-01-05,89785.4,91082.78,89291.27,89770.97,13089.6971
2026-01-06,89774.12,91050.07,86790.01,88021.5,9834.5686
2026-01-07,87966.68,93831.71,86986.4,93204.55,20765.4482
2026-01-08,93229.86,98396.7,92253.65,96598.82,12238.3823
2026-01-09,96639.09,98560.34,95996.21,98345.01,14669.2617
2026-01-10,98330.37,98502.52,96754.83,96937.99,17252.3435
2026-01-11,96929.89,98660.8,94315.17,95576.79,12144.5916
2026-01-12,95585.5,98055.71,93944.05,95243.49,20597.9309
2026-01-13,95250.88,96359.29,93840.9,95378.25,19710.1347
2026-01-14,95376.92,97422.04,95016.28,96023.8,22409.6367
2026-01-15,95996.52,98383.44,95432.69,96467.59,11506.6857
2026-01-16,96464.52,98125.93,94015.35,95309.36,13651.6802
2026-01-17,95313.84,98510.91,95121.0,98467.0,23362.5661
2026-01-18,98489.43,98670.67,97478.3,97855.49,8748.7421
2026-01-19,97807.76,98229.41,94449.25,94770.16,16144.8662
2026-01-20,94825.43,100060.49,93248.44,99238.46,14662.0554
2026-01-21,99240.82,100437.34,97996.64,98437.7,19468.5487
2026-01-22,98396.11,98892.85,94941.41,95342.6,10708.6081
2026-01-23,95338.61,97345.92,94251.83,94636.08,18657.3113
2026-01-24,94631.2,95964.95,92728.73,94691.64,17683.9981
2026-01-25,94733.88,96887.29,93212.22,93406.54,17297.969
2026-01-26,93406.33,93803.87,87539.66,89978.81,22756.6657
2026-01-27,89953.28,93275.06,87709.63,88274.48,20160.9543
2026-01-28,88274.77,88576.69,86315.85,86826.36,15455.6444
2026-01-29,86833.12,90034.44,86634.97,89458.27,22903.2466
2026-01-30,89447.23,91182.48,87583.81,90899.61,15026.8841
2026-01-31,90883.06,91786.19,88157.38,90011.49,22189.3604
2026-02-01,90070.9,90602.76,87501.02,88122.72,11643.6131
2026-02-02,88096.48,88973.67,86536.71,87641.31,19625.1714
