date,open,high,low,close,volume
2026-01-01,3298.38,3302.42,3144.6,3250.19,277180.4977
2026-01-02,3251.25,3356.11,3211.39,3285.26,201210.22
2026-01-03,3283.67,3293.38,3082.74,3117.0,152227.6133
2026-01-04,3116.98,3174.13,3070.31,3096.39,225781.6732
2026-01-05,3096.71,3247.24,3062.53,3235.18,134166.2342
2026-01-06,3235.57,3317.0,3106.81,3172.32,236950.6721
2026-01-07,3171.17,3219.19,3093.91,3126.28,364773.5655
2026-01-08,3127.55,3284.38,3080.99,3216.44,276025.0651
2026-01-09,3215.59,3266.26,3124.06,3196.54,311486.2323
2026-01-10,3196.81,3248.95,3134.64,3245.97,207050.0168
2026-01-11,3246.73,3294.14,3120.36,3120.59,285821.1813
2026-01-12,3119.44,3129.86,2917.92,3030.27,319844.6949
2026-01-13,3032.19,3090.92,3024.73,3067.41,307862.6806
2026-01-14,3067.28,3077.94,2994.65,3032.58,304609.0707
2026-01-15,3032.8,3179.02,3030.4,3164.14,282783.2519
2026-01-16,3162.87,3175.79,3109.75,3125.09,252230.8145
2026-01-17,3125.48,3203.5,3101.63,3129.89,221721.9898
2026-01-18,3130.18,3166.23,3041.62,3109.57,256593.0008
2026-01-19,3110.16,3177.34,3091.71,3159.57,328905.6188
2026-01-20,3157.94,3169.72,3049.17,3060.14,142544.9576
2026-01-21,3060.14,3106.57,3043.85,3084.49,294295.7603
2026-01-22,3085.93,3087.48,2954.86,3016.36,131668.781
2026-01-23,3015.58,3053.88,2944.86,3044.61,178680.9896
2026-01-24,3044.79,3064.56,2968.83,2970.42,277981.7302
2026-01-25,2970.94,3097.43,2945.73,3070.52,326757.19
2026-01-26,3070.19,3144.94,2924.92,2944.5,141737.8484
2026-01-27,2944.01,3056.65,2854.7,2980.08,353270.8432
2026-01-28,2980.91,3147.1,2980.52,3054.24,311753.2434
2026-01-29,3053.78,3093.97,2869.77,2923.93,150022.6455
2026-01-30,2924.63,3003.87,2907.2,2914.38,199077.9315
2026-01-31,2913.46,2943.79,2906.71,2935.4,150941.7355
2026-02-01,2936.15,3049.06,2915.64,2998.97,159539.5044
2026-02-02,2996.96,3126.22,2978.65,3016.33,357527.9396
2026-02-03,3016.22,3103.47,3002.9,3086.88,277967.5012
2026-02-04,3089.15,3100.16,3019.79,3082.11,309958.3191
2026-02-05,3080.0,3101.48,3073.54,3080.13,139140.6349
2026-02-06,3081.53,3153.54,2954.63,3074.57,145452.8013
