time,open,high,low,close,volume
2026-01-01,91976.37,92692.69,87490.47,90363.08,868924211.49
2026-01-02,90376.35,93585.56,89892.59,92479.6,2027788351.81
2026-01-03,92517.61,92565.29,88206.64,90514.61,898374593.41
2026-01-04,90461.49,90573.23,89199.79,89745.7,1144785846.39
2026-01-05,89750.34,91047.21,89256.41,89735.92,1372021754.87
2026-01-06,89762.64,91038.43,86778.92,88010.25,799410601.52
2026-01-07,88032.7,93902.14,87051.69,93274.5,2016622317.91
2026-01-08,93269.78,98438.82,92293.15,96640.17,1201905550.88
2026-01-09,96591.58,98511.89,95949.02,98296.67,1260337019.28
2026-01-10,98330.63,98502.79,96755.09,96938.25,1635051753.09
2026-01-11,96943.52,98674.67,94328.43,95590.23,1157293316.45
2026-01-12,95595.44,98065.91,93953.81,95253.39,2038223656.92
2026-01-13,95263.1,96371.65,93852.94,95390.49,1925112585.59
2026-01-14,95346.33,97390.79,94985.8,95993.0,2085222331.85
2026-01-15,96043.89,98431.99,95479.78,96515.19,1152023684.33
2026-01-16,96516.17,98178.47,94065.69,95360.39,1232444889.61
2026-01-17,95310.64,98507.61,95117.81,98463.7,2187625151.54
2026-01-18,98515.63,98696.92,97504.24,97881.53,815130386.11
2026-01-19,97872.69,98294.62,94511.95,94833.07,1565440610.7
2026-01-20,94778.05,100010.5,93201.85,99188.87,1358314028.79
2026-01-21,99216.44,100412.67,97972.56,98413.52,2230656718.42
2026-01-22,98427.28,98924.18,94971.48,95372.8,1035480639.04
2026-01-23,95335.14,97342.38,94248.4,94632.63,2003496405.17
2026-01-24,94659.36,95993.51,92756.33,94719.82,1723649602.81
2026-01-25,94689.03,96841.43,93168.1,93362.33,1714422548.92
2026-01-26,93372.04,93769.43,87507.52,89945.77,2004326884.54
2026-01-27,89938.64,93259.89,87695.36,88260.11,1977253354.26
2026-01-28,88305.82,88607.85,86346.21,86856.9,1349986735.53
2026-01-29,86847.37,90049.21,86649.18,89472.95,1946654339.01
2026-01-30,89432.76,91167.74,87569.65,90884.91,1315280110.11
2026-01-31,90907.19,91810.55,88180.78,90035.38,1890650063.49
2026-02-01,90049.96,90581.7,87480.68,88102.24,951208653.04
2026-02-02,88078.41,88955.42,86518.96,87623.33,1698146190.17
2026-02-03,87619.66,90210.86,86784.04,89555.75,1314334587.56
2026-02-04,89543.66,91462.71,88354.12,90780.18,1987105715.77
2026-02-05,90778.71,93229.85,88551.39,92508.27,1200356487.76
2026-02-06,92553.65,92893.51,90696.11,92038.74,1729249811.25
2026-02-07,92003.22,93399.62,89614.78,91642.95,969455155.6
2026-02-08,91688.5,93707.84,88499.52,89478.88,1454781454.06
2026-02-09,89455.49,91650.09,88202.05,88426.8,1374739847.02
2026-02-10,88398.7,89222.67,87755.04,88549.94,1273189544.26
2026-02-11,88617.51,88958.87,86080.62,86217.08,1516073586.83
2026-02-12,86178.46,86882.17,85252.66,85893.01,1038489085.24
2026-02-13,85888.96,89306.52,83476.38,89014.2,1212575492.94
2026-02-14,89005.69,91585.52,86726.85,88083.89,1199061516.06
2026-02-15,88083.77,90490.75,84896.81,85889.67,1507970012.27
2026-02-16,85927.04,87227.26,85553.35,86702.49,831917379.77
